,text_id,sent_id,sent,is_requirement
0,0,0,"Founded in 2009, the Fonpit AG rose with its international web portal ANDROIDPIT to the world's largest Android community.",0
1,0,1,"Every month over 18 Million Android and tech enthusiasts around the world log into ANDROIDPIT , where they know they'll find the latest and most innovative information about Android and Android-Apps in 6 different languages.",0
2,0,2,"Our business activities consist of close collaboration with many of the world's largest tech, web and mobile companies.",0
3,0,3,"In 2014, APP MEDIA amended Fonpit AG’s brand portfolio.",0
4,0,4,"As a one-stop shop for app marketing,APP MEDIA delivers quality performance marketing for apps to give clients the most successful campaigns possible with custom concepts and sustainable results.",0
5,0,5,"Located in the heart of Berlin, we are constantly looking for highly motivated and success driven personalities to help ANDROIDPIT and APP MEDIA grow even further.",0
6,0,6,Your Responsibilities: Manage the English-speaking editorial team and build a team of best-in-class editorsSet up content creation schedules and ensure deadlines are adhered toResearch and write about the latest tech topics and news in relation to the Android ecosystemEnsure that the content on the site is of a consistently high qualityBe the face and voice of #URL_874846adb69d98865d05ec57ce2425d9e363ef71e0c8436e59e86a136a508716#,0
7,0,7,"Your Know-How:                                                                                                                                                               University or college degree in journalism, media or other communication studiesProfessional experience in relevant fields, e.g. online editorial, community management, tech writing…Possession of contacts within key companies in the mobile industryExperience in leading &amp; motivating small teamsPassion for the Android world, honed writing skills with a personal flair, and willingness to share your Android knowledgeStrong commitment to success and a motivating and inspiring personality.",1
8,0,8,Comfortable in a dynamic startup environmentEnglish native speakerLocated in Berlin or surroundings,1
9,0,9,"Your Benefits: Being part of a fast-growing company in a booming industryFast decision-making thanks to flat hierarchies and clear structuresFreedom to unfold your own ideas &amp; creativity and to take over responsibility right from the startContinued growth in a successful, international team, which thrives in a familiar, but professional, working atmosphereFree drinks, table tennis, lunch catering, Feel Good Management, team events, office dogs and more",0
10,1,0,"Jungle Ventures is the leading Singapore based, entrepreneur backed, venture capital firm, that funds and actively supports start-ups in scaling across Asia Pacific.",0
11,1,1,We pride ourselves on leading investments with conviction.,0
12,1,2,We invest in global start-ups that are solving problems relevant to Asia Pacific markets.,0
13,1,3,"We currently have investments in US, Singapore, India, Australia, Thailand, Malaysia, and the Philippines.",0
14,1,4,"As one of the most active investors in the region we have made 27 investments to date, including Travelmob which was acquired by Homeaway last year.",0
15,1,5,Jungle are the only truly active investors in the region which means working with us doesn’t mean an investment and occasional board meeting.,0
16,1,6,"Our team of Venture Partners, Advisors and Operating Partners roll-up their sleeves and work side by side with you to solve the little problems and scale across countries.",0
17,1,7,About Vault Dragon Vault Dragon is Dropbox for your physical stuff - a startup that is changing the aesthetic face of Singapore by creating more space in households and offices.,0
18,1,8,"We also save countless doctors, lawyers and professional services firms everyday from the catastrophe of document storage and management.",0
19,1,9,Singapore Business Review magazine says we are one of the 20 hottest startups in Singapore.,0
20,1,10,"Don’t believe a word they are saying, because we are THE hottest startup in Singapore.",0
21,1,11,"Our crusade against the lack of space in Singapore is supported by top VC funds, including Jungle Ventures, 500 startups and Golden Gate ventures.",0
22,1,12,"Vault Dragon is the hero Singapore deserves and the one it needs right now, come and join!Job DescriptionVault Dragon is looking for a VP of Sales who will 'roll up their sleeves' and drive sales to both B2B and B2C customers.",0
23,1,13,We need someone as persistent as Seth (Boiler Room) and as driven as Jordan (Wolf of Wall Street).,0
24,1,14,"If you don't relate, then you can stop reading.",0
25,1,15,"But if “No” is not a word in your dictionary, and you love selling like we love pancakes, then this is definitely the job for you.",0
26,1,16,The only boundary when it comes to working with us is your own imagination.,0
27,1,17,"The VP of Sales will (breathe in) drive planning, reporting, quota setting and management, sales process optimization, sales job design, sales training, sales program implementation, sales compensation design and administration, and recruiting and selection of sales force talent (breathe out).",0
28,1,18,In addition they are responsible for the overall productivity and effectiveness of the sales organization.,0
29,1,19,"Reporting to the Founders, the VP of Sales also works closely with internal and external stakeholders to ensure the appropriate objectives and priorities are enabled within the sales organization.",0
30,1,20,ResponsibilitiesUnleash the Dragon and and lead the sales charge for our awesome service.,0
31,1,21,We are a rapidly growing startup and it's ground zero for a sales master to come into their own how they always dreamed of.,0
32,1,22,"You aren't going to be micro-managed here, so how you drive sales is up to you, so long as no bunnies are harmed in the process.",0
33,1,23,"We are looking for a change maker who knows what they want and how to do it, but high-level responsibilities include:Smash sales targets and set new milestonesDevelop quality sales material yourselfGenerate a high volume of sales related activity including cold calls, presentations, proposals, and client relationship developmentDevelop account strategies to drive long term revenue growth and upsellImplimenting enabling technology including CRM (and ensuring compliance)Hiring and training and incentivising your own sales team for both phone and field salesConceiving and implimenting sales processes that get resultsCoordinating sales forecasting, planning, and budgeting processes with the Founders in alignment with the business plan KPIs and continuous reportingDeveloping a 'Sales bible' to be leveraged as we expand outwards",0
34,1,24,"Key Superpowers3-5 years of high-pressure sales experience, but if you absorb knowledge like a sponge and keep getting promoted we are flexiblePreferably mastery of both phone and field sales for both business and retail customersKnow the ins and outs of CRM'Get tech,' we are a tech company at heart.",1
35,1,25,You know the finer points of PowerPoint formatting and how to install Dropbox yourself,1
36,1,26,"Yes, seriously, that's apparently a thing)Entrepreneurial spiritWinner mindsetPersuasionSelf motivationResilience and tenaciousnessWorking well under stressGoal drivenPreferable:",1
37,1,27,Knowledge and connections in Singapore and across more developed citiesTeleportation (Optional),1
38,1,28,"Basic: SGD 120,000Equity negotiable for a rock starGround floor opportunity to make a difference and do things as Dean said ""my way""Hire and train your own superhero sales team, the way you wantMassive degree of freedom to own and deliver resultsFree beer.",0
39,2,0,"WDM Group is an innovative, forward thinking digital company aimed at bringing business executives up-to-date with the latest news, information and trends from across the globe.",0
40,2,1,"Aimed at informing, engaging, educating and interacting with business executives the world over, WDM Group’s products takes an in-depth look at inter-country relations, trade and tourism, prominent industries, success stories and lessons to be learned in business.",0
41,2,2,"With a physical presence in many of the world’s largest economies, WDM Group is abreast with news and developments occurring around the clock.",0
42,2,3,We aim to keep our ears to the ground and our fingers on the pulse to bring busy executives a breakdown of the biggest and most interesting updates from across the world’s largest and most influential territories and industries.,0
43,2,4,"With WDM Group you don’t just read the news, you make it.",0
44,2,5,"#URL_eda2500ddcedb60957fcd7f5b164e092966f8c4e8fb89ce70a16bea1545a297d#, an up and coming social media company, is seeking a VP, Sales and Sponsorship executive to be responsible for creating and selling branded, high-impact social media marketing and sponsorship programs for its key product, “The Ultimate Business App.",0
45,2,6,"""#URL_eda2500ddcedb60957fcd7f5b164e092966f8c4e8fb89ce70a16bea1545a297d# combines the ability to discover, connect and share with fellow professionals and offers the unique ability to communicate, manage, store and notate all aspects of your working life from one website and one mobile app.",0
46,2,7,It’s positioned to be the world's newest social networking platform for professionals and the companies they work for.,0
47,2,8,Do you have what it takes to be part of “The Next Big Thing” to hit social media?,0
48,2,9,"Read on…Responsibilities:Create, package and sell marketing and sponsorship opportunities within the Businessfriend suite of connection and communication tools to boost web site traffic and overall usage;Craft sales presentations that creatively and distinctly differentiate and communicate unique Businessfriend assets to targeted prospects;Educate / position Businessfriend assets and marketing capabilities to the sponsor/ advertiser marketplace; demonstrate the branding values of Businessfriend to create unique marketing value with company assets;Structure, price, successfully negotiate and close all deals and arrangements;Meet or exceed revenue and key account goals;Oversee sponsor contracts, invoicing, and accounts receivable or develop processes to ensure execution and collections;Responsible for working with senior leadership to create annual budgets, including sales forecasts and expenses.",0
49,2,10,"Job Requirements:A reputation as a ""go-getter"" and ""rainmaker "";Solid relationships with senior level marketing and advertising executives at relevant corporations located in or doing business in the social media arena;Key contacts with brand decision makers, media buyers, planners and senior media management;Demonstrated ability to develop and nurture relationships and work effectively at all levels of the decision process;Strong interpersonal and leadership abilities, with excellent oral and written communication skills;A creative salesperson with the ability to open doors and a demonstrated track record closing innovative sponsorships and integrated marketing programs;High energy and a personality that thrives in a fast-paced, changing environment;Demonstrated high-level relationship building and negotiating skills.",1
50,2,11,Businessfriend will offer a competitive six figure salary for this executive role as well as commission and stock options.,0
51,2,12,We offer three weeks vacation to start as well as paid holidays.,0
52,2,13,"Additionally, we provide health, dental and vision insurance.",0
53,3,0,"                                                                                 Staffing &amp; Recruiting done right for the Oil &amp; Energy Industry!Represented candidates are automatically granted the following perks: Expert negotiations on your behalf, maximizing your compensation package and implimenting ongoing increases Significant signing bonus by Refined Resources (in addition to any potential signing bonuses our client companies offer)1 Year access to AnyPerk: significant corporate discounts on cell phones, event tickets, house cleaning and everything inbetween.  ",0
